,county,state,population,male,female,median_age,region,female_percentage,cases,deaths,population_size,death_size,case_size
445,Dauphin,Pennsylvania,274515,132864,141651,39.8,Northeast,51.600458991311946,72404,1077,small population,medium deaths,low cases
446,Davidson,North Carolina,164664,80508,84156,42.3,South,51.10771024631978,234734,1838,small population,medium deaths,medium cases
447,Davie,North Carolina,41991,20374,21617,45.0,South,51.48007906456146,14831,123,small population,low deaths,low cases
448,Daviess,Indiana,32937,16634,16303,34.7,Midwest,49.497525579135925,2022,32,small population,low deaths,low cases
449,Davis,Iowa,8885,4398,4487,37.0,Midwest,50.500844119302194,119310,453,small population,low deaths,medium cases
450,Davison,South Dakota,19901,9963,9938,38.8,Midwest,49.93718908597558,7048,88,small population,low deaths,low cases
451,Dawes,Nebraska,8896,4571,4325,34.9,Midwest,48.61735611510791,1499,25,small population,low deaths,low cases
452,Dawson,Georgia,23861,11774,12087,43.4,South,50.655881983152426,3565,101,small population,low deaths,low cases
453,Day,South Dakota,5506,2857,2649,48.0,Midwest,48.11115147112241,1512,40,small population,low deaths,low cases
454,De Baca,New Mexico,2060,1052,1008,37.0,West,48.932038834951456,753,6,small population,low deaths,low cases
455,De Soto,Louisiana,27216,13172,14044,39.7,South,51.60199882422105,9734,146,small population,low deaths,low cases
456,De Witt,Illinois,16042,8015,8027,43.1,Midwest,50.03740182022192,5188,41,small population,low deaths,low cases
457,DeKalb,Alabama,71200,35304,35896,39.3,South,50.41573033707866,7743,112,small population,low deaths,low cases
458,DeSoto,Florida,36399,20657,15742,40.6,South,43.24844089123327,61278,583,small population,low deaths,low cases
459,DeWitt,Texas,20435,10577,9858,40.9,South,48.240763396134085,7310,111,small population,low deaths,low cases
460,Deaf Smith,Texas,18899,9507,9392,32.0,South,49.695751097941695,5802,118,small population,low deaths,low cases
461,Dearborn,Indiana,49501,24764,24737,42.7,Midwest,49.97272782368033,16199,150,small population,low deaths,low cases
462,Decatur,Georgia,26833,12907,13926,38.1,South,51.898781351321134,4561,73,small population,low deaths,low cases
463,Deer Lodge,Montana,9100,4835,4265,48.5,West,46.86813186813187,3232,30,small population,low deaths,low cases
464,Defiance,Ohio,38279,19019,19260,40.6,Midwest,50.31479401238277,12342,174,small population,low deaths,low cases
465,Del Norte,California,27424,14575,12849,38.6,West,46.853121353558926,8392,59,small population,low deaths,low cases
466,Delaware,Indiana,115616,55743,59873,35.4,Midwest,51.78608497093827,141330,2073,small population,medium deaths,medium cases
467,Delta,Colorado,30346,15235,15111,47.6,West,49.7956897119884,2063,27,small population,low deaths,low cases
468,Denali,Alaska,2232,1117,1115,43.1,West,49.95519713261648,1802,2,small population,low deaths,low cases
469,Dent,Missouri,15504,7692,7812,44.4,Midwest,50.38699690402477,3944,93,small population,low deaths,low cases
470,Denton,Texas,807047,397140,409907,35.2,South,50.79097004263692,223181,1443,small population,medium deaths,medium cases
471,Denver,Colorado,693417,347188,346229,34.4,West,49.93084969073443,224098,1517,small population,medium deaths,medium cases
472,Des Moines,Iowa,39600,19313,20287,42.6,Midwest,51.22979797979797,11234,165,small population,low deaths,low cases
473,Deschutes,Oregon,180640,89209,91431,42.3,West,50.6150354295837,61514,389,small population,low deaths,low cases
474,Desha,Arkansas,11887,5623,6264,39.1,South,52.69622276436443,3642,44,small population,low deaths,low cases
475,Deuel,Nebraska,1894,892,1002,47.0,Midwest,52.9039070749736,1194,12,small population,low deaths,low cases
476,Dewey,Oklahoma,4918,2449,2469,40.2,South,50.203334688897925,3403,46,small population,low deaths,low cases
477,Dickens,Texas,2216,1143,1073,43.9,South,48.42057761732852,522,16,small population,low deaths,low cases
478,Dickenson,Virginia,14960,7585,7375,44.3,South,49.29812834224599,4871,71,small population,low deaths,low cases
479,Dickey,North Dakota,4970,2450,2520,43.1,Midwest,50.70422535211267,1786,39,small population,low deaths,low cases
480,Dickinson,Iowa,17056,8515,8541,48.4,Midwest,50.07621951219512,9332,130,small population,low deaths,low cases
481,Dickson,Tennessee,51988,25458,26530,39.4,South,51.03100715549742,20117,269,small population,low deaths,low cases
482,Dillingham,Alaska,4975,2573,2402,30.3,West,48.281407035175874,2265,13,small population,low deaths,low cases
483,Dillon,South Carolina,30871,14567,16304,37.5,South,52.813319944284274,11745,156,small population,low deaths,low cases
484,Dimmit,Texas,10663,5186,5477,33.7,South,51.36453155772297,6194,52,small population,low deaths,low cases
485,Dinwiddie,Virginia,28308,14010,14298,43.2,South,50.50869012293344,7473,108,small population,low deaths,low cases
486,Divide,North Dakota,2369,1174,1195,54.0,Midwest,50.443224989447025,596,4,small population,low deaths,low cases
487,Dixie,Florida,16437,9218,7219,47.3,South,43.91920666788343,4905,86,small population,low deaths,low cases
488,Dixon,Nebraska,5746,2884,2862,42.0,Midwest,49.80856247824574,1394,19,small population,low deaths,low cases
489,Doddridge,West Virginia,8536,4692,3844,45.1,South,45.03280224929709,2501,20,small population,low deaths,low cases
490,Dodge,Georgia,20919,10972,9947,41.6,South,47.55007409532004,32837,375,small population,low deaths,low cases
491,Dolores,Colorado,1841,989,852,51.8,West,46.27919608908202,423,8,small population,low deaths,low cases
492,Dona Ana,New Mexico,215338,105774,109564,32.9,West,50.88001188828725,76629,934,small population,low deaths,low cases
493,Doniphan,Kansas,7736,3960,3776,41.3,Midwest,48.81075491209928,2834,39,small population,low deaths,low cases
494,Donley,Texas,3387,1634,1753,41.6,South,51.756716858576915,1317,26,small population,low deaths,low cases
495,Dooly,Georgia,13905,7529,6376,43.7,South,45.85400934915498,2839,76,small population,low deaths,low cases
496,Door,Wisconsin,27439,13535,13904,52.4,Midwest,50.67240059768942,8755,91,small population,low deaths,low cases
497,Dorchester,Maryland,32261,15335,16926,44.5,South,52.4658256098695,70342,557,small population,low deaths,low cases
498,Dougherty,Georgia,91049,42144,48905,35.1,South,53.71283594547991,24315,569,small population,low deaths,low cases
499,Douglas,Colorado,328614,163766,164848,38.4,West,50.164630843482016,14415,95,small population,low deaths,low cases
500,Drew,Arkansas,18502,9033,9469,37.0,South,51.17825099989191,5617,84,small population,low deaths,low cases
501,DuPage,Illinois,931743,457178,474565,39.1,Midwest,50.9330362557057,287581,1852,small population,medium deaths,medium cases
502,Dubois,Indiana,42418,21048,21370,40.4,Midwest,50.37955584893206,15024,179,small population,low deaths,low cases
503,Dubuque,Iowa,96802,47744,49058,38.5,Midwest,50.67870498543419,30896,329,small population,low deaths,low cases
504,Duchesne,Utah,20219,10312,9907,31.0,West,48.99846678866413,0,0,small population,low deaths,low cases
505,Dukes,Massachusetts,17313,8475,8838,46.1,Northeast,51.04834517414659,0,0,small population,low deaths,low cases
506,Dundy,Nebraska,2023,1013,1010,42.3,Midwest,49.925852694018786,404,6,small population,low deaths,low cases
507,Dunklin,Missouri,30428,14623,15805,39.9,Midwest,51.94228999605627,9677,138,small population,low deaths,low cases
508,Dunn,North Dakota,4387,2298,2089,38.8,Midwest,47.61796216093002,15549,83,small population,low deaths,low cases
509,Duplin,North Carolina,59062,28780,30282,40.6,South,51.27154515593782,20898,263,small population,low deaths,low cases
510,Durham,North Carolina,306457,146535,159922,35.2,South,52.184156341672725,102867,395,small population,low deaths,medium cases
511,Dutchess,New York,293894,146174,147720,42.0,Northeast,50.26302000040831,85148,738,small population,low deaths,low cases
512,Duval,Florida,924229,448163,476066,36.1,South,51.5095284826596,4357,74,small population,low deaths,low cases
513,Dyer,Tennessee,37576,18157,19419,40.1,South,51.67926335959123,15687,223,small population,low deaths,low cases
514,Eagle,Colorado,54357,28804,25553,36.5,West,47.00958478208878,18775,39,small population,low deaths,low cases
515,Early,Georgia,10348,4791,5557,40.7,South,53.70119829918825,3121,65,small population,low deaths,low cases
516,East Baton Rouge,Louisiana,444094,212778,231316,33.7,South,52.08717073412386,143480,1426,small population,medium deaths,medium cases
517,East Carroll,Louisiana,7225,4373,2852,33.0,South,39.47404844290657,3326,38,small population,low deaths,low cases
518,East Feliciana,Louisiana,19499,10715,8784,43.0,South,45.04846402379609,8336,179,small population,low deaths,low cases
519,Eastland,Texas,18270,9245,9025,42.4,South,49.39792008757526,3427,120,small population,low deaths,low cases
520,Eaton,Michigan,109155,53353,55802,41.0,Midwest,51.12179927625853,34863,473,small population,low deaths,low cases
521,Eau Claire,Wisconsin,102991,50874,52117,34.4,Midwest,50.603450786961965,36540,214,small population,low deaths,low cases
522,Echols,Georgia,3994,1973,2021,40.9,South,50.60090135202804,1058,12,small population,low deaths,low cases
523,Ector,Texas,158342,80249,78093,30.3,South,49.31919515984388,43954,733,small population,low deaths,low cases
524,Eddy,New Mexico,57437,28989,28448,35.3,West,49.529049219144454,895,6,small population,low deaths,low cases
525,Edgar,Illinois,17539,8617,8922,44.6,Midwest,50.86949084896516,6571,60,small population,low deaths,low cases
526,Edgecombe,North Carolina,53332,24856,28476,41.0,South,53.39383484587115,17540,177,small population,low deaths,low cases
527,Edgefield,South Carolina,26769,14363,12406,42.7,South,46.34465239642871,8389,78,small population,low deaths,low cases
528,Edmonson,Kentucky,12122,6093,6029,43.8,South,49.73601715888467,3281,57,small population,low deaths,low cases
529,Edmunds,South Dakota,3940,2008,1932,43.1,Midwest,49.035532994923855,1068,17,small population,low deaths,low cases
530,Edwards,Illinois,6507,3231,3276,43.3,Midwest,50.345781466113415,581,12,small population,low deaths,low cases
531,Effingham,Georgia,58689,29215,29474,36.1,South,50.22065463715517,12785,146,small population,low deaths,low cases
532,El Dorado,California,186661,93040,93621,45.8,West,50.15562972447378,39031,243,small population,low deaths,low cases
533,El Paso,Colorado,688153,347478,340675,34.1,West,49.505705853204155,255219,3887,small population,medium deaths,medium cases
534,Elbert,Colorado,25162,12721,12441,46.1,West,49.44360543676973,5324,120,small population,low deaths,low cases
535,Elk,Kansas,2562,1258,1304,51.7,Midwest,50.897736143637786,8565,120,small population,low deaths,low cases
536,Elkhart,Indiana,203604,100713,102891,35.5,Midwest,50.53486179053457,61282,793,small population,low deaths,low cases
537,Elko,Nevada,52252,27199,25053,33.9,West,47.94649008650387,12884,151,small population,low deaths,low cases
538,Elliott,Kentucky,7517,4285,3232,41.9,South,42.99587601436743,3658,22,small population,low deaths,low cases
539,Ellis,Kansas,28878,14394,14484,32.6,Midwest,50.15582796592562,57701,616,small population,low deaths,low cases
540,Ellsworth,Kansas,6293,3654,2639,42.3,Midwest,41.935483870967744,2433,34,small population,low deaths,low cases
541,Elmore,Alabama,81212,39450,41762,38.6,South,51.42343496035069,8995,73,small population,low deaths,low cases
542,Emanuel,Georgia,22499,11105,11394,36.8,South,50.64225076670075,6773,168,small population,low deaths,low cases
543,Emery,Utah,10248,5234,5014,35.4,West,48.92661982825917,0,0,small population,low deaths,low cases
544,Emmet,Iowa,9551,4770,4781,42.4,Midwest,50.057585593131606,7593,109,small population,low deaths,low cases
545,Emmons,North Dakota,3352,1704,1648,52.6,Midwest,49.16467780429594,838,18,small population,low deaths,low cases
546,Emporia,Virginia,5381,2408,2973,38.4,South,55.24995354023415,1654,57,small population,low deaths,low cases
547,Erath,Texas,41482,20216,21266,30.0,South,51.26560917988525,9971,131,small population,low deaths,low cases
548,Erie,New York,919866,444998,474868,40.4,Northeast,51.62360604696771,71716,895,small population,low deaths,low cases
549,Escambia,Alabama,37328,19067,18261,39.7,South,48.92038148306901,97483,1462,small population,medium deaths,low cases
550,Esmeralda,Nevada,981,406,575,48.3,West,58.613659531090725,124,5,small population,low deaths,low cases
551,Essex,Massachusetts,781024,376475,404549,40.8,Northeast,51.7972559101897,2828,43,small population,low deaths,low cases
552,Estill,Kentucky,14313,7104,7209,43.7,South,50.366799413120944,5281,58,small population,low deaths,low cases
553,Etowah,Alabama,102939,49651,53288,41.3,South,51.766580207695824,34137,690,small population,low deaths,low cases
554,Eureka,Nevada,1830,921,909,47.3,West,49.67213114754098,192,2,small population,low deaths,low cases
555,Evangeline,Louisiana,33636,17142,16494,35.4,South,49.03674634320371,10201,165,small population,low deaths,low cases
556,Evans,Georgia,10727,5303,5424,37.7,South,50.56399738976415,2852,70,small population,low deaths,low cases
557,Fairbanks North Star,Alaska,99653,53846,45807,31.1,West,45.96650376807522,33565,172,small population,low deaths,low cases
558,Fairfax,Virginia,1143529,566646,576883,37.9,South,50.44760561384975,260635,1717,medium population,medium deaths,medium cases
559,Fairfax City,Virginia,23865,11801,12064,38.1,South,50.55101613241148,2715,51,small population,low deaths,low cases
560,Fairfield,Connecticut,944348,459963,484385,40.3,Northeast,51.29306145615811,7648,116,small population,low deaths,low cases
561,Fall River,South Dakota,6774,3404,3370,51.3,Midwest,49.74904044877473,2474,44,small population,low deaths,low cases
562,Fallon,Montana,2838,1472,1366,39.3,West,48.132487667371386,796,12,small population,low deaths,low cases
563,Falls,Texas,17299,8189,9110,39.3,South,52.6620035840222,4482,70,small population,low deaths,low cases
564,Falls Church,Virginia,14067,7017,7050,38.8,South,50.11729579867775,3498,21,small population,low deaths,low cases
565,Fannin,Georgia,24925,12086,12839,51.4,South,51.51053159478435,8097,193,small population,low deaths,low cases
566,Faribault,Minnesota,13896,6949,6947,46.1,Midwest,49.99280368451353,4450,61,small population,low deaths,low cases
567,Faulk,South Dakota,2322,1165,1157,48.1,Midwest,49.82773471145564,710,17,small population,low deaths,low cases
568,Faulkner,Arkansas,122416,59911,62505,32.5,South,51.05950202587897,42851,357,small population,low deaths,low cases
569,Fauquier,Virginia,69115,34283,34832,41.4,South,50.397164146712,16580,164,small population,low deaths,low cases
570,Fayette,Alabama,16585,8170,8415,43.8,South,50.738619234247814,16707,235,small population,low deaths,low cases
571,Fentress,Tennessee,17994,8893,9101,45.0,South,50.577970434589304,7050,143,small population,low deaths,low cases
572,Fergus,Montana,11273,5682,5591,46.0,West,49.596380732724214,2956,61,small population,low deaths,low cases
573,Ferry,Washington,7576,3884,3692,49.6,West,48.73284054910243,1808,34,small population,low deaths,low cases
574,Fillmore,Minnesota,20888,10491,10397,42.4,Midwest,49.77499042512447,1310,19,small population,low deaths,low cases
575,Finney,Kansas,36957,18940,18017,30.5,Midwest,48.75125145439294,13368,127,small population,low deaths,low cases
576,Fisher,Texas,3883,1879,2004,44.4,South,51.60958022147823,730,27,small population,low deaths,low cases
577,Flagler,Florida,107139,51187,55952,50.9,South,52.22374672154865,28830,425,small population,low deaths,low cases
578,Flathead,Montana,98082,48823,49259,42.1,West,50.222263004424875,33761,302,small population,low deaths,low cases
579,Fleming,Kentucky,14479,7146,7333,40.9,South,50.645762828924646,4973,74,small population,low deaths,low cases
580,Florence,South Carolina,138561,64599,73962,39.0,South,53.37865633186828,1347,17,small population,low deaths,low cases
581,Floyd,Georgia,96824,46810,50014,38.5,South,51.65454845905973,3697,54,small population,low deaths,low cases
582,Fluvanna,Virginia,26282,12005,14277,43.3,South,54.3223498972681,6878,54,small population,low deaths,low cases
583,Foard,Texas,1408,712,696,49.3,South,49.43181818181818,254,12,small population,low deaths,low cases
584,Fond du Lac,Wisconsin,102315,50302,52013,41.5,Midwest,50.83614328299858,39126,317,small population,low deaths,low cases
585,Ford,Illinois,13398,6616,6782,43.0,Midwest,50.619495447081654,12363,123,small population,low deaths,low cases
586,Forest,Pennsylvania,7351,5807,1544,40.4,Northeast,21.003945041490955,3325,56,small population,low deaths,low cases
587,Forrest,Mississippi,75517,35944,39573,32.4,South,52.40277023716514,27332,328,small population,low deaths,low cases
588,Forsyth,Georgia,219880,109258,110622,38.3,South,50.31016918319084,125166,964,small population,low deaths,medium cases
589,Fort Bend,Texas,739342,363177,376165,36.0,South,50.87834858563425,245213,1245,small population,medium deaths,medium cases
590,Foster,North Dakota,3290,1616,1674,45.6,Midwest,50.881458966565354,1161,23,small population,low deaths,low cases
591,Fountain,Indiana,16486,8251,8235,43.1,Midwest,49.95147397792066,6404,110,small population,low deaths,low cases
592,Franklin,Alabama,31542,15602,15940,37.6,South,50.53579354511445,36789,227,small population,low deaths,low cases
593,Franklin City,Virginia,8211,3611,4600,38.9,South,56.022408963585434,2685,57,small population,low deaths,low cases
594,Frederick,Maryland,248472,122524,125948,39.2,South,50.68901123667858,26626,285,small population,low deaths,low cases
595,Fredericksburg,Virginia,28469,13064,15405,30.3,South,54.111489690540594,7225,51,small population,low deaths,low cases
596,Freeborn,Minnesota,30526,15217,15309,44.2,Midwest,50.15069121404704,10530,90,small population,low deaths,low cases
597,Freestone,Texas,19709,10163,9546,40.4,South,48.43472525242275,4304,87,small population,low deaths,low cases
598,Fremont,Colorado,47002,27324,19678,44.9,West,41.86630356155057,16775,204,small population,low deaths,low cases
599,Fresno,California,978130,487936,490194,32.0,West,50.115424330099266,328084,2983,small population,medium deaths,medium cases
600,Frio,Texas,19394,11580,7814,31.4,South,40.290811591213775,6666,95,small population,low deaths,low cases
601,Frontier,Nebraska,2609,1326,1283,45.5,Midwest,49.175929474894595,613,4,small population,low deaths,low cases
602,Fulton,Arkansas,12139,6048,6091,48.1,South,50.1771150836148,5056,72,small population,low deaths,low cases
603,Furnas,Nebraska,4786,2349,2437,46.5,Midwest,50.91934809862097,1307,18,small population,low deaths,low cases
604,Gadsden,Florida,46017,21785,24232,40.7,South,52.65880000869244,17590,241,small population,low deaths,low cases
605,Gage,Nebraska,21595,10826,10769,44.0,Midwest,49.868025005788375,4531,62,small population,low deaths,low cases
606,Gaines,Texas,20321,10320,10001,27.9,South,49.21509768220068,2397,85,small population,low deaths,low cases
607,Galax,Virginia,6638,3174,3464,45.1,South,52.18439288942452,3270,87,small population,low deaths,low cases
608,Gallatin,Illinois,5157,2472,2685,45.3,Midwest,52.065154159395,41356,134,small population,low deaths,low cases
609,Gallia,Ohio,30195,14802,15393,40.6,Midwest,50.97863884749131,10358,139,small population,low deaths,low cases
610,Galveston,Texas,327089,161269,165820,37.5,South,50.695682214932326,119625,898,small population,low deaths,medium cases
611,Garden,Nebraska,1860,937,923,50.3,Midwest,49.623655913978496,474,5,small population,low deaths,low cases
612,Garfield,Colorado,58538,29779,28759,36.3,West,49.12877105469951,503,7,small population,low deaths,low cases
613,Garland,Arkansas,98296,47182,51114,44.9,South,52.00008138683161,26982,580,small population,low deaths,low cases
614,Garrard,Kentucky,17328,8475,8853,42.7,South,51.090720221606645,5977,92,small population,low deaths,low cases
615,Garrett,Maryland,29376,14561,14815,45.6,South,50.432325708061,7155,124,small population,low deaths,low cases
616,Garvin,Oklahoma,27823,13807,14016,39.2,South,50.375588541853865,8578,157,small population,low deaths,low cases
617,Garza,Texas,6288,4070,2218,39.0,South,35.273536895674305,1498,30,small population,low deaths,low cases
618,Gasconade,Missouri,14746,7373,7373,45.8,Midwest,50.0,4081,114,small population,low deaths,low cases
619,Gaston,North Carolina,216585,104371,112214,40.1,South,51.81060553593277,81673,969,small population,low deaths,low cases
620,Gates,North Carolina,11563,5627,5936,45.7,South,51.33615843639194,2450,22,small population,low deaths,low cases
621,Geary,Kansas,34895,18540,16355,26.1,Midwest,46.86917896546783,11354,90,small population,low deaths,low cases
622,Geauga,Ohio,93961,46425,47536,44.6,Midwest,50.591202733048824,20383,294,small population,low deaths,low cases
623,Gem,Idaho,17052,8354,8698,45.1,West,51.00867933380249,4249,86,small population,low deaths,low cases
624,Genesee,Michigan,409361,197382,211979,40.3,Midwest,51.78290066713732,16636,208,small population,low deaths,low cases
625,Geneva,Alabama,26491,12971,13520,42.4,South,51.03620097391567,7907,171,small population,low deaths,low cases
626,Gentry,Missouri,6665,3218,3447,41.5,Midwest,51.71792948237059,2683,37,small population,low deaths,low cases
627,George,Mississippi,23710,12008,11702,36.3,South,49.35470265710671,8737,91,small population,low deaths,low cases
628,Georgetown,South Carolina,61605,29133,32472,49.2,South,52.7100073046019,19724,243,small population,low deaths,low cases
629,Gibson,Indiana,33596,16848,16748,40.3,Midwest,49.85117275866175,21830,294,small population,low deaths,low cases
630,Gila,Arizona,53400,26370,27030,49.7,West,50.61797752808989,21354,415,small population,low deaths,low cases
631,Gilchrist,Florida,17615,9249,8366,42.5,South,47.49361339767244,5603,109,small population,low deaths,low cases
632,Giles,Tennessee,29167,14246,14921,43.4,South,51.1571296328042,5259,60,small population,low deaths,low cases
633,Gillespie,Texas,26208,12731,13477,50.3,South,51.42322954822954,6267,120,small population,low deaths,low cases
634,Gilliam,Oregon,1907,912,995,49.6,West,52.17619297325642,322,6,small population,low deaths,low cases
635,Gilmer,Georgia,29922,15079,14843,46.9,South,49.60564133413542,2537,23,small population,low deaths,low cases
636,Gilpin,Colorado,5924,3169,2755,45.7,West,46.50573936529372,1171,7,small population,low deaths,low cases
637,Glacier,Montana,13699,6855,6844,31.4,West,49.95985108402073,4708,77,small population,low deaths,low cases
638,Glades,Florida,13363,7303,6060,47.2,South,45.349098256379555,2288,38,small population,low deaths,low cases
639,Gladwin,Michigan,25289,12739,12550,49.8,Midwest,49.62631974376211,6771,135,small population,low deaths,low cases
640,Glascock,Georgia,3009,1438,1571,43.2,South,52.210036556995675,724,31,small population,low deaths,low cases
641,Glasscock,Texas,1430,787,643,36.0,South,44.96503496503497,233,3,small population,low deaths,low cases
642,Glenn,California,27897,14171,13726,36.6,West,49.2024231996272,7788,58,small population,low deaths,low cases
643,Gloucester,New Jersey,290852,141229,149623,40.3,Northeast,51.44300193913055,9610,115,small population,low deaths,low cases
644,Glynn,Georgia,83974,39419,44555,41.0,South,53.05808940862647,27198,441,small population,low deaths,low cases
645,Gogebic,Michigan,15414,8324,7090,48.8,Midwest,45.99714545218632,4277,78,small population,low deaths,low cases
646,Golden Valley,Montana,724,355,369,56.0,West,50.966850828729285,513,4,small population,low deaths,low cases
647,Goliad,Texas,7531,3734,3797,46.0,South,50.41827114593016,1561,34,small population,low deaths,low cases
648,Gonzales,Texas,20667,10448,10219,36.5,South,49.445976677795514,5355,106,small population,low deaths,low cases
649,Goochland,Virginia,22482,11129,11353,48.3,South,50.49817631883285,5748,64,small population,low deaths,low cases
650,Goodhue,Minnesota,46217,23093,23124,42.5,Midwest,50.03353744293225,15534,154,small population,low deaths,low cases
651,Gooding,Idaho,15169,7911,7258,37.8,West,47.84758388819302,3913,61,small population,low deaths,low cases
652,Gordon,Georgia,56790,28001,28789,37.8,South,50.69378411692199,19725,303,small population,low deaths,low cases
653,Goshen,Wyoming,13438,6948,6490,43.4,West,48.29587736270278,4622,65,small population,low deaths,low cases
654,Gosper,Nebraska,2015,1000,1015,50.4,Midwest,50.37220843672456,447,9,small population,low deaths,low cases
655,Gove,Kansas,2619,1298,1321,48.1,Midwest,50.439098892707136,943,24,small population,low deaths,low cases
656,Grady,Georgia,24926,12176,12750,39.7,South,51.1514081681778,17060,266,small population,low deaths,low cases
657,Grafton,New Hampshire,89811,44161,45650,42.9,Northeast,50.82896304461592,23206,103,small population,low deaths,low cases
658,Graham,Arizona,37879,20330,17549,33.3,West,46.32910055703688,2963,31,small population,low deaths,low cases
659,Grainger,Tennessee,23013,11465,11548,44.6,South,50.180332855342634,8257,122,small population,low deaths,low cases
660,Grand,Colorado,15066,8129,6937,43.5,West,46.044072746581705,0,0,small population,low deaths,low cases
661,Grand Forks,North Dakota,70400,36536,33864,29.5,Midwest,48.10227272727273,26774,125,small population,low deaths,low cases
662,Grand Isle,Vermont,6965,3476,3489,47.8,Northeast,50.09332376166547,1292,8,small population,low deaths,low cases
663,Grand Traverse,Michigan,91746,45367,46379,42.9,Midwest,50.55152268218778,21492,273,small population,low deaths,low cases
664,Granite,Montana,3269,1696,1573,54.3,West,48.11869073111043,668,10,small population,low deaths,low cases
665,Grant,Arkansas,18086,8870,9216,40.4,South,50.956540970916734,15422,162,small population,low deaths,low cases
666,Granville,North Carolina,58874,30046,28828,42.6,South,48.96558752590278,19533,127,small population,low deaths,low cases
667,Gratiot,Michigan,41067,21961,19106,39.2,Midwest,46.52397301969952,12946,210,small population,low deaths,low cases
668,Graves,Kentucky,37294,18348,18946,40.3,South,50.801737544913394,13638,205,small population,low deaths,low cases
669,Gray,Kansas,6037,3025,3012,36.2,Midwest,49.89233062779526,7080,132,small population,low deaths,low cases
670,Grays Harbor,Washington,71967,36981,34986,43.7,West,48.61394805952728,20406,251,small population,low deaths,low cases
671,Grayson,Kentucky,26178,13073,13105,40.5,South,50.061120024448016,5641,98,small population,low deaths,low cases
672,Greeley,Kansas,1200,581,619,36.5,Midwest,51.583333333333336,464,6,small population,low deaths,low cases
673,Green,Kentucky,11023,5393,5630,44.6,South,51.07502494783635,11594,62,small population,low deaths,low cases
674,Green Lake,Wisconsin,18757,9437,9320,45.4,Midwest,49.68811643653036,6348,72,small population,low deaths,low cases
675,Greenbrier,West Virginia,35347,17203,18144,45.4,South,51.3310889184372,12850,184,small population,low deaths,low cases
676,Greene,Alabama,8426,3950,4476,42.5,South,53.12129124139568,5072,65,small population,low deaths,low cases
677,Greenlee,Arizona,9504,5064,4440,34.2,West,46.71717171717171,2711,40,small population,low deaths,low cases
678,Greensville,Virginia,11659,7336,4323,39.8,South,37.07865168539326,3894,45,small population,low deaths,low cases
679,Greenup,Kentucky,35765,17411,18354,43.4,South,51.31832797427652,16680,159,small population,low deaths,low cases
680,Greenville,South Carolina,498402,241853,256549,38.1,South,51.47431190083507,206336,2146,small population,medium deaths,medium cases
681,Greenwood,Kansas,6156,3106,3050,48.7,Midwest,49.545159194282,26784,332,small population,low deaths,low cases
682,Greer,Oklahoma,5943,3419,2524,41.2,South,42.47013292949688,1585,43,small population,low deaths,low cases
683,Gregg,Texas,123494,60208,63286,35.4,South,51.24621439098256,27096,723,small population,low deaths,low cases
684,Gregory,South Dakota,4201,2144,2057,45.5,Midwest,48.96453225422518,1219,34,small population,low deaths,low cases
685,Grenada,Mississippi,21278,10103,11175,39.8,South,52.51903374377291,6391,142,small population,low deaths,low cases
686,Griggs,North Dakota,2266,1142,1124,50.2,Midwest,49.60282436010591,677,2,small population,low deaths,low cases
687,Grimes,Texas,27630,14892,12738,40.3,South,46.102062975027145,10180,128,small population,low deaths,low cases
688,Grundy,Illinois,50509,25241,25268,37.6,Midwest,50.02672790987744,4624,81,small population,low deaths,low cases
689,Guadalupe,New Mexico,4382,2507,1875,42.6,West,42.78868096759471,45631,428,small population,low deaths,low cases
690,Guernsey,Ohio,39274,19522,19752,42.5,Midwest,50.29281458471253,13577,166,small population,low deaths,low cases
691,Guilford,North Carolina,523582,248019,275563,37.1,South,52.6303425251441,160047,1449,small population,medium deaths,medium cases
692,Gulf,Florida,16055,9586,6469,44.3,South,40.29274369355341,5011,88,small population,low deaths,low cases
693,Gunnison,Colorado,16537,8983,7554,34.5,West,45.67938562012457,3965,16,small population,low deaths,low cases
694,Guthrie,Iowa,10674,5335,5339,45.6,Midwest,50.018737118231215,2769,48,small population,low deaths,low cases
695,Gwinnett,Georgia,902298,441051,461247,35.1,South,51.11914245626168,256836,2116,small population,medium deaths,medium cases
696,Haakon,South Dakota,2082,1012,1070,46.5,Midwest,51.39289145052833,529,12,small population,low deaths,low cases
697,Habersham,Georgia,44289,20962,23327,39.5,South,52.66996319627899,11478,288,small population,low deaths,low cases
698,Haines,Alaska,2518,1335,1183,44.9,West,46.98173153296267,798,1,small population,low deaths,low cases
699,Hale,Alabama,14887,7019,7868,39.2,South,52.85148115805737,8442,251,small population,low deaths,low cases
700,Halifax,North Carolina,51737,24959,26778,43.1,South,51.75792952819066,9636,195,small population,low deaths,low cases
701,Hall,Georgia,195961,97518,98443,36.3,South,50.23601635019212,1299,24,small population,low deaths,low cases
702,Hamblen,Tennessee,63740,31141,32599,40.4,South,51.143708817069346,24565,385,small population,low deaths,low cases
703,Hamilton,Florida,14269,8281,5988,41.5,South,41.96509916602425,2106,36,small population,low deaths,low cases
704,Hamlin,South Dakota,6000,3091,2909,35.2,Midwest,48.483333333333334,1776,41,small population,low deaths,low cases
705,Hampden,Massachusetts,469116,226555,242561,38.9,Northeast,51.70597464166645,171177,2121,small population,medium deaths,medium cases
